function,count,total,min,max,avg
fib,276,0.01586229990789434,6.199996278155595e-06,0.0012764999992214143,5.74721011155592e-05
factorial,46,0.002032600052189082,6.400005077011883e-06,0.00012310000602155924,4.418695765628439e-05
sum_to,1,0.0008900999964680523,0.0008900999964680523,0.0008900999964680523,0.0008900999964680523
reverse_array,1,0.0010855000000447035,0.0010855000000447035,0.0010855000000447035,0.0010855000000447035
