function,count,total,min,max,avg
fib,276,0.01664509991678642,6.199996278155595e-06,0.0012814000001526438,6.0308333031834856e-05
factorial,46,0.0020491000323090702,6.399997801054269e-06,0.0001236000025528483,4.454565287628414e-05
sum_to,1,0.0009285999985877424,0.0009285999985877424,0.0009285999985877424,0.0009285999985877424
reverse_array,1,0.0008691000039107166,0.0008691000039107166,0.0008691000039107166,0.0008691000039107166
