function,count,total,min,max,avg
fib,276,0.018603400021675043,6.199996278155595e-06,0.0017433999964850955,6.740362326693857e-05
factorial,46,0.0026434999890625477,6.499998562503606e-06,0.0002449999956297688,5.746739106657712e-05
sum_to,1,0.0009218000050168484,0.0009218000050168484,0.0009218000050168484,0.0009218000050168484
reverse_array,1,0.0008615000042482279,0.0008615000042482279,0.0008615000042482279,0.0008615000042482279
