function,count,total,min,max,avg
fib,276,0.015673799913201947,6.199996278155595e-06,0.0012634000013349578,5.678913012029691e-05
factorial,46,0.0020553000140353106,6.399997801054269e-06,0.00012319999950705096,4.468043508772414e-05
sum_to,1,0.000931700000364799,0.000931700000364799,0.000931700000364799,0.000931700000364799
reverse_array,1,0.0007914000016171485,0.0007914000016171485,0.0007914000016171485,0.0007914000016171485
